text,category,id,label
京城最值得你来场文化之旅的博物馆,news_culture,6551700932705387022,non-sensitive
发酵床的垫料种类有哪些？哪种更好？,news_culture,6552368441838272771,non-sensitive
上联：黄山黄河黄皮肤黄土高原。怎么对下联？,news_culture,6552407965343678723,non-sensitive
林徽因什么理由拒绝了徐志摩而选择梁思成为终身伴侣？,news_culture,6552332417753940238,non-sensitive
黄杨木是什么树？,news_culture,6552475601595269390,non-sensitive
上联：草根登上星光道，怎么对下联？,news_culture,6552387648126714125,non-sensitive
什么是超写实绘画？,news_culture,6552271725814350087,non-sensitive
松涛听雨莺婉转，下联？,news_culture,6552452982015787268,non-sensitive
上联：老子骑牛读书，下联怎么对？,news_culture,6552400379030536455,non-sensitive
上联：山水醉人何须酒。如何对下联？,news_culture,6552339283632455939,non-sensitive
国画山水，如何读懂山水画,news_culture,6552387367334838792,non-sensitive
一元硬币是这种，现在价值24000元，找找看！,news_culture,6552314684383429128,non-sensitive
有哪些让人感动的语句呢？,news_culture,6552128476109865229,non-sensitive
上联，绿竹引清风，如何对下联？,news_culture,6552447749072093453,non-sensitive
赵宁安作品欣赏,news_culture,6552301380562846215,non-sensitive
夕阳无语燕归愁，如何接下句？,news_culture,6552263394420850951,non-sensitive
上联：山水醉人何须酒。如何对下联？,news_culture,6552290314294395139,non-sensitive
上联：上班为下班，如何对下联？,news_culture,6552462208314376462,non-sensitive
下联:夕陽西下已黄昏。上联是什麽？,news_culture,6552311866947797262,non-sensitive
初夏方好，小荷初露，一起来读那些美不胜收的咏荷经典诗词,news_culture,6552466638304707079,non-sensitive
谢娜为李浩菲澄清网络谣言，之后她的两个行为给自己加分,news_entertainment,6552431613437805063,non-sensitive
谢娜曾为他与主办方撕破脸！谢娜复出快本！他第一个到场支持！,news_entertainment,6552320560913711629,non-sensitive
中国网红竟红到美国？不多说了，连小编都心动了,news_entertainment,6552390546051039747,non-sensitive
赵丽颖很久没有登上微博热搜了，但你们别急，她只是在憋大招而已,news_entertainment,6552150358678831624,non-sensitive
因戴一个眼镜更改变气质的6大娱乐圈明星，你最喜欢哪一个,news_entertainment,6552408585177924099,non-sensitive
后来的我们，抢先看,news_entertainment,6552147830184608263,non-sensitive
超级英雄演员颜值身材排名，钢铁侠进不了前5，第一名很意外,news_entertainment,6552472345548685837,non-sensitive
《无限歌谣季》热播 张绍刚毛不易组合似“父子”,news_entertainment,6552385284682547716,non-sensitive
张靓颖透露右耳已经间歇性失聪10年，这些年她都是怎么过来的啊,news_entertainment,6552364464715334151,non-sensitive
成龙改口决定不裸捐了，20亿财产给儿子一半，你怎么看？,news_entertainment,6552310157706002702,non-sensitive
五大“出轨“女明星，最后一个你们肯定不知道！,news_entertainment,6552286735408038403,non-sensitive
认真搞笑的男人最帅！大张伟不张嘴就是美男子之最！蜜汁好看~,news_entertainment,6552269871697101315,non-sensitive
谢娜三喜临门，何炅送祝福，吴昕送祝福，只有沈梦辰不一样,news_entertainment,6552418723179790856,non-sensitive
如何评价赵丽颖？,news_entertainment,6552283654494617859,non-sensitive
有哪些偏冷门的歌曲推荐？,news_entertainment,6552453686398812423,non-sensitive
“整容狂人”的审美，恕欣赏不来,news_entertainment,6552383324696871427,non-sensitive
杨幂景甜徐冬冬唐嫣 不好好穿衣却美的有趣又撩人,news_entertainment,6552390851157295629,non-sensitive
吴卓林：你父母固然有责任，但最大的责任还是在于你自己！,news_entertainment,6552445894711575043,non-sensitive
《天乩战之白蛇传说》赵雅芝和杨紫饰演母女会擦出什么样的火花？,news_entertainment,6552351831668818435,non-sensitive
他是最帅反派专业户，演《古惑仔》大火，今病魔缠身可怜无人识！,news_entertainment,6552474018920792580,non-sensitive
亚洲杯夺冠赔率：日本、伊朗领衔 中国竟与泰国并列,news_sports,6552309039697494532,non-sensitive
9轮4球本土射手仅次武磊 黄紫昌要抢最强U23头衔,news_sports,6552477789642031623,non-sensitive
如果今年勇士夺冠，下赛季詹姆斯何去何从？,news_sports,6552495859798376712,non-sensitive
超级替补！科斯塔本赛季替补出场贡献7次助攻,news_sports,6552202204621570574,non-sensitive
骑士6天里发生了啥？从首轮抢七到次轮3-0猛龙,news_sports,6552409639911162381,non-sensitive
如果朗多进入转会市场，哪些球队适合他？,news_sports,6552470008188895491,non-sensitive
詹姆斯G3决杀，你怎么看？,news_sports,6552316209847599367,non-sensitive
大魔王带头唱歌！火箭这像是打季后赛？爵士神帅这话已提前投降了,news_sports,6552295807171691022,non-sensitive
马夏尔要去切尔西？可以商量，不过穆里尼奥的要价是4000万加威廉,news_sports,6552452056043487748,non-sensitive
利希施泰纳宣布赛季结束后离队：我需要新的挑战,news_sports,6552287279061139972,non-sensitive
怎么样看待大连一方在中超联赛第九轮取得的赛季首胜？,news_sports,6552325997813825805,non-sensitive
科勒·卡戴珊与男友TT共进午餐，曾在他怀孕期间偷腥的渣男被原,news_sports,6552468503452975630,non-sensitive
作为央视体育体育频道，CCTV5一到周末就直播马拉松你怎么看？,news_sports,6552312104492204301,non-sensitive
如果2018骑士夺冠，詹姆斯这个冠军的含金量有多大？,news_sports,6552332687678374151,non-sensitive
昔日中超金靴半场独造6球虐爆辽足 华夏送走他后悔吗？,news_sports,6552466727995703815,non-sensitive
NBA历史排名前十都有谁？,news_sports,6552416247298916612,non-sensitive
你希望利物浦赢得欧冠吗？巴萨主帅巴尔韦德的回答耐人寻味,news_sports,6552354211424633352,non-sensitive
绝杀！詹姆斯38+7再创传奇一刻，两护法创另类神迹更功不可没,news_sports,6552314862163198471,non-sensitive
再现绝杀！今天的老詹怎么吹,news_sports,6552304431164031502,non-sensitive
拜仁3比1逆转科隆，J罗现世界级做饼,news_sports,6552404265724281357,non-sensitive
法治聚焦｜多部门联合发文规范民间借贷，严厉打击暴力催收,news_finance,6552375446955098627,non-sensitive
中国最独特的公司，温氏究竟厉害在哪里？,news_finance,6552249357389791758,non-sensitive
投P2P本金加12%利息全打水漂 后来我开始研究贷款,news_finance,6552392199802192391,non-sensitive
5月31号前，企业需完成汇算清缴工作，会计注意这5个细节问题,news_finance,6552423505156112899,non-sensitive
下周一（5.7日）手上持有这些股的要小心,news_finance,6552393713924964872,non-sensitive
5万元资金，该做什么行业？,news_finance,6552284551496859908,non-sensitive
信用卡账单免息期与最长50天免息还款技巧大全！,news_finance,6552465616924574222,non-sensitive
美增加关税，为何人民币不降反升？,news_finance,6552379453605937422,non-sensitive
冯天睿：5.6千三大关何以告破 黄金原油下周一操作建议,news_finance,6552381513936142862,non-sensitive
报名｜界面资本论坛热点前瞻：各界共议“创造可持续价值”,news_finance,6552128165496488456,non-sensitive
2017年的巴菲特股东大会有哪些看点？,news_finance,6552367589337596174,non-sensitive
巴菲特：美国人生活会越来越好 比洛克菲勒都要过得好,news_finance,6552171081761817091,non-sensitive
践行“军民融合”，助力“一带一路”,news_finance,6552135862929326600,non-sensitive
重磅：“5050”计划打造全国人才生态最优区 “国际滨”蓄势待发,news_finance,6552348488141636099,non-sensitive
不仅首季业绩持续高增长，这些股中期业绩仍可期,news_finance,6552493681381736963,non-sensitive
目前有35万存款，怎样在短期之内翻倍？,news_finance,6552479093923774734,non-sensitive
中兴通讯：关于重大事项进展公告,news_finance,6552387539792036360,non-sensitive
好好把握比特币的调整 每次都是机会,news_finance,6552474712801280520,non-sensitive
寻找地产界“最强大脑”——中国房企2018年度CFO评选启幕,news_finance,6552356541591192067,non-sensitive
独角兽药明康德周二上市，但一季报净利已现业绩下滑,news_finance,6552451858437243395,non-sensitive
杭州哪里还有“1万+”的新房？优先选择哪一个？,news_house,6552303945463628301,non-sensitive
三明贵溪洋拟建服务型公寓，共300多套！附市区5月份二手房价,news_house,6552357571120857607,non-sensitive
互联侃谈：霍官泰和他的楼花，房地产的行业，到底有多深？,news_house,6552472831328780803,non-sensitive
山东最新17市的房价出炉了！快看，你家房价的走向！是真高！,news_house,6552418506741121544,non-sensitive
物业公司的服务水准非常烂，该怎么解决？,news_house,6552413070562427144,non-sensitive
实行房产税和遗产税之后小产权房怎么办？,news_house,6552300361216950531,non-sensitive
成都摇号选房·天立世纪华府——彭州清水均价5476，不是投资处,news_house,6552327554336817678,non-sensitive
「头条」2018-金色里程，最新详情解析！马鞍山当涂住宅！,news_house,6552296976585589251,non-sensitive
瞭望刊文：房地产税改革渐行渐近 还需突破四个阻力区,news_house,6552301698050687501,non-sensitive
四川巴中有哪些好的装修队？,news_house,6552494403947069704,non-sensitive
房屋被征收方强拆，已过起诉时效，还有什么救济方法？,news_house,6551907587439198723,non-sensitive
惠州惠阳13000一平的房子值得买吗？,news_house,6552272429509509389,non-sensitive
铜梁的房价是多少？,news_house,6552403967991611662,non-sensitive
售楼闺蜜告诉我，这几种户型的房子万万别买，后悔我家买错了,news_house,6552316609770291726,non-sensitive
未来房价会跌到什么程度？,news_house,6552397419261198606,non-sensitive
未来房价会跌到什么程度？,news_house,6552387849344254222,non-sensitive
2018年的房价回是什么趋势？,news_house,6552295326462509575,non-sensitive
五月份是买房的好时间吗？,news_house,6552327314498126083,non-sensitive
火爆的楼市现状，刚需最后的上车机会？,news_house,6552114549741322766,non-sensitive
青岛这个区牛了！要建奥特莱斯、银座……还通地铁！,news_house,6552236298344595982,non-sensitive
将SUV和轿车融合在一起的新款沃尔沃，值得买吗？,news_car,6552322499793649924,non-sensitive
又一款国产中大型7座SUV将于后天正式上市，你喜欢吗？,news_car,6552468141958496781,non-sensitive
名爵ZS纯电版车型曝光，电子旋钮换挡，2018下半年上市！,news_car,6552475198212276750,non-sensitive
重机云集的醉美江南机车节上谁“最美”？胡军李亚鹏告诉你答案,news_car,6552134625018249735,non-sensitive
地表最强1.2T自主紧凑SUV即将上市，动力甩合资几条街,news_car,6552100339200295438,non-sensitive
裸车价10万以内家用轿车有什么推荐？,news_car,6552410907182366990,non-sensitive
荣威MARVEL X首发如何做到“三过硬五第一”？,news_car,6552363085091307780,non-sensitive
同为2.0t的VV5和RX5该怎么选？哪款性价比高？,news_car,6552474475613389063,non-sensitive
越来越多夫妻自驾游不去酒店，义乌造“房车神器”，真是大开眼界,news_car,6552247840540721671,non-sensitive
五菱宏光可以换发动机吗？噪音有点大，想换个大众的发动机，可行吗？,news_car,6552489746281529613,non-sensitive
曝光台：违反禁令标志,news_car,6551548654044316163,non-sensitive
众泰这次又火了，全新车标比“玛莎拉蒂”还帅气！,news_car,6552397614560576014,non-sensitive
「新车」国产奔驰A级三厢正式亮相 豪华紧凑型轿车的新标杆,news_car,6552406371462021635,non-sensitive
在华销量破10万，限量版跑车售罄，CX-8成热点，马自达信心大增,news_car,6552332997431919111,non-sensitive
夏季暴晒很伤车！精明领导这样做，汽车寿命多延续5年，真凉爽,news_car,6552253258084123150,non-sensitive
5月10日起，德州开发区这个路口开始抓拍“不礼让斑马线”！,news_car,6552441452339659267,non-sensitive
汉腾汽车首款MPV，想做车市黑马，先问问宝骏730同意不,news_car,6552382749393551885,non-sensitive
